ID,site,replicate,trap,label,season,year,full_label,anthia_decemguttata,stenocara_dentata,morphospecies_1,morphospecies_2,morphospecies_3,morphospecies_4,morphospecies_5,morphospecies_6,morphospecies_7,morphospecies_8,morphospecies_9,morphospecies_10,morphospecies_11,morphospecies_12,morphospecies_13,morphospecies_14,morphospecies_15,morphospecies_16,morphospecies_17,morphospecies_18,morphospecies_19,morphospecies_20,morphospecies_21,morphospecies_22,morphospecies_23,morphospecies_24,morphospecies_25,morphospecies_26,morphospecies_27,morphospecies_28,morphospecies_29,morphospecies_30,morphospecies_31,morphospecies_32,morphospecies_33,morphospecies_34,morphospecies_35,morphospecies_36,morphospecies_37,morphospecies_38,morphospecies_39,morphospecies_40,morphospecies_41,morphospecies_42,morphospecies_43,morphospecies_44,morphospecies_45,morphospecies_46,morphospecies_47,morphospecies_48,morphospecies_49,morphospecies_50,morphospecies_51,morphospecies_52,morphospecies_53,morphospecies_54,morphospecies_55,morphospecies_56,morphospecies_57,morphospecies_58,morphospecies_59,morphospecies_60,morphospecies_61,morphospecies_62,morphospecies_63,morphospecies_64,morphospecies_65,morphospecies_66,morphospecies_67,morphospecies_68,morphospecies_69,morphospecies_70,morphospecies_71,morphospecies_72,morphospecies_73,morphospecies_74,morphospecies_75,morphospecies_76,morphospecies_77,morphospecies_78,morphospecies_79,morphospecies_80,morphospecies_81,morphospecies_82,morphospecies_83,morphospecies_84,morphospecies_85,morphospecies_86,morphospecies_87,morphospecies_88,morphospecies_89,morphospecies_90,morphospecies_91,morphospecies_92,morphospecies_93,morphospecies_94,morphospecies_95,morphospecies_96,morphospecies_97,morphospecies_98,morphospecies_99,morphospecies_100,morphospecies_101,morphospecies_102,morphospecies_103,morphospecies_104,morphospecies_105,morphospecies_106,morphospecies_107,morphospecies_108,morphospecies_109,morphospecies_110,morphospecies_111,morphospecies_112,morphospecies_113,morphospecies_114,morphospecies_115,morphospecies_116,morphospecies_117,morphospecies_118,morphospecies_119,morphospecies_120,morphospecies_121,morphospecies_122,morphospecies_123,morphospecies_124,morphospecies_125,morphospecies_126,morphospecies_127,morphospecies_128,morphospecies_129,morphospecies_130,morphospecies_131,morphospecies_132,morphospecies_133,morphospecies_134,morphospecies_135,morphospecies_136,morphospecies_137,morphospecies_138,morphospecies_139,morphospecies_140,morphospecies_141,morphospecies_142,morphospecies_143,morphospecies_144
402,11,1,2,11.1.2,October,2022,402_October_2022,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,11,3,2,11.3.2,October,2022,422_October_2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,11,4,1,11.4.1,October,2022,431_October_2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,11,1,1,11.1.1,October,2022,401_October_2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,11,2,1,11.2.1,October,2022,411_October_2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,11,2,2,11.2.2,October,2022,412_October_2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,12,2,1,12.2.1,October,2022,451_October_2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,15,1,4,15.1.4,October,2022,564_October_2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,11,2,10,11.2.10,October,2022,420_October_2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,12,4,9,12.4.9,October,2022,479_October_2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
